scrape_date,date,time_departure,time_arrival,duration,escape,economy,economy_plus,business,business_plus
2016-08-23,2016-08-23,16:10,19:17,187,Sold out,98,106,109,185
2016-08-23,2016-08-23,18:15,21:09,174,77,85,106,Sold out,185
2016-08-23,2016-08-24,06:05,09:09,184,73,82,106,157,185
2016-08-23,2016-08-24,08:43,11:40,177,Sold out,93,106,Sold out,185
2016-08-23,2016-08-24,12:45,16:01,196,Sold out,93,106,157,185
2016-08-23,2016-08-24,16:10,19:17,187,Sold out,82,106,157,185
2016-08-23,2016-08-24,18:15,21:09,174,73,82,106,157,185
2016-08-23,2016-08-25,06:05,09:09,184,77,85,106,130,185
2016-08-23,2016-08-25,08:43,11:40,177,Sold out,85,106,130,185
2016-08-23,2016-08-25,12:45,16:01,196,Sold out,85,106,Sold out,185
2016-08-23,2016-08-25,16:10,19:17,187,Sold out,85,106,130,185
2016-08-23,2016-08-25,18:15,21:09,174,77,85,106,157,185
2016-08-23,2016-08-26,06:05,09:09,184,73,82,106,119,185
2016-08-23,2016-08-26,08:43,11:40,177,73,82,106,119,185
2016-08-23,2016-08-26,12:45,16:01,196,Sold out,93,106,130,185
2016-08-23,2016-08-26,16:10,19:17,187,Sold out,82,106,119,185
2016-08-23,2016-08-26,18:15,21:09,174,73,82,106,119,185
2016-08-23,2016-08-27,08:53,11:40,167,60,82,106,119,185
2016-08-23,2016-08-27,12:45,16:01,196,Sold out,82,106,119,185
2016-08-23,2016-08-27,16:10,19:17,187,73,82,106,119,185
2016-08-23,2016-08-28,08:53,11:40,167,29,82,106,119,185
2016-08-23,2016-08-28,12:45,16:01,196,Sold out,82,106,119,185
2016-08-23,2016-08-28,18:15,21:09,174,73,82,106,119,185
2016-08-23,2016-08-29,06:05,09:09,184,29,85,106,119,185
2016-08-23,2016-08-29,08:43,11:40,177,77,85,106,119,185
2016-08-23,2016-08-29,12:45,16:01,196,77,85,106,119,185
2016-08-23,2016-08-29,16:10,19:17,187,77,85,106,119,185
2016-08-23,2016-08-29,18:15,21:09,174,29,85,106,119,185
2016-08-23,2016-08-30,06:05,09:09,184,29,85,106,109,185
2016-08-23,2016-08-30,08:43,11:40,177,77,85,106,Sold out,Sold out
2016-08-23,2016-08-30,12:45,16:01,196,77,85,106,119,185
2016-08-23,2016-08-30,16:10,19:17,187,77,85,106,119,185
2016-08-23,2016-08-30,18:15,21:09,174,29,85,106,109,185
2016-08-23,2016-08-31,06:05,09:09,184,29,82,106,89,185
2016-08-23,2016-08-31,08:43,11:40,177,60,82,106,119,185
2016-08-23,2016-08-31,12:45,16:01,196,73,82,106,119,185
2016-08-23,2016-08-31,16:10,19:17,187,60,82,106,89,185
2016-08-23,2016-08-31,18:15,21:09,174,29,82,106,119,185
2016-08-23,2016-09-01,06:05,09:09,184,29,85,106,109,185
2016-08-23,2016-09-01,08:43,11:40,177,77,85,106,130,185
2016-08-23,2016-09-01,12:45,16:01,196,77,85,106,130,185
2016-08-23,2016-09-01,16:10,19:17,187,29,85,106,130,185
2016-08-23,2016-09-01,18:15,21:09,174,49,85,106,130,185
2016-08-23,2016-09-02,06:05,09:09,184,29,82,106,89,185
2016-08-23,2016-09-02,08:43,11:40,177,29,82,106,130,185
2016-08-23,2016-09-02,12:45,16:01,196,73,82,106,119,185
2016-08-23,2016-09-02,16:10,19:17,187,73,82,106,130,185
2016-08-23,2016-09-02,18:15,21:09,174,73,82,106,119,185
2016-08-23,2016-09-03,08:53,11:40,167,73,82,106,119,185
2016-08-23,2016-09-03,12:45,16:01,196,73,82,106,130,185
2016-08-23,2016-09-03,16:10,19:17,187,47,82,106,130,185
2016-08-23,2016-09-04,08:53,11:40,167,60,82,106,119,185
2016-08-23,2016-09-04,12:45,16:01,196,47,82,106,119,185
